Airline,Route,sentiment_score
EVA Air,Seattle to Taipei,0.9507
Japan Airlines,Seattle to Tokyo,0.8225
All Nippon Airways,Seattle to Tokyo,0.6249
Japan Airlines,Seattle to Tokyo,0.9678
Japan Airlines,Seattle to Tokyo Narita,0.9933
Air France,Senegal to Paris,-0.7714
Korean Air,Seoul GMP to Jeju,0.8316
Japan Airlines,Seoul Gimpo to Sydney,0.6032
All Nippon Airways,Seoul Gimpo to Tokyo Haneda,-0.8401
Cathay Pacific Airways,Seoul Incheaon to Hong Kong,0.9841
Korean Air,Seoul Incheon to Amsterdam,0.99
Cathay Pacific Airways,Seoul Incheon to Hong Kong,0.872
Cathay Pacific Airways,Seoul Incheon to Hong Kong,0.9202
Cathay Pacific Airways,Seoul Incheon to Hong Kong,0.9201
Korean Air,Seoul Incheon to London Heathrow,-0.1074
Korean Air,Seoul Incheon to Nadi,0.9444
Korean Air,Seoul to Amsterdam,0.7347
Turkish Airlines,Seoul to Athens via Istanbul,-0.9818
Korean Air,Seoul to Auckland,-0.7909
Korean Air,Seoul to Bangkok,0.7547
Korean Air,Seoul to Bangkok,-0.6051
Korean Air,Seoul to Bangkok,0.9388
Cathay Pacific Airways,Seoul to Bangkok via Hong Kong,0.8969
Cathay Pacific Airways,Seoul to Bangkok via Hong Kong,0.8481
Korean Air,Seoul to Beijing,0.8313
Air France,Seoul to Birmingham via Paris,0.902
Korean Air,Seoul to Brisbane,0.9674
Korean Air,Seoul to Brisbane,0.796
Korean Air,Seoul to Dalian,0.2037
Korean Air,Seoul to Dallas,0.9722
Qatar Airways,Seoul to Doha,0.9637
Korean Air,Seoul to Hanoi,-0.0094
Korean Air,Seoul to Ho Chi Minh City,0.5849
Korean Air,Seoul to Ho Chi Minh City,0.9913
Cathay Pacific Airways,Seoul to Hong Kong,0.9659
Korean Air,Seoul to Hong Kong,0.775
Korean Air,Seoul to Honolulu,0.4678
Korean Air,Seoul to Jeju,0.9392
Korean Air,Seoul to Jeju,0.9802
Qatar Airways,Seoul to Johannesburg via Doha,0.9095
Korean Air,Seoul to Kathmandu,-0.957
Singapore Airlines,Seoul to Kochi via Singapore,-0.5574
Cathay Pacific Airways,Seoul to Kolkata via Hong Kong,-0.8434
Korean Air,Seoul to Kuala Lumpur,-0.9717
Turkish Airlines,Seoul to Kyiv via Istanbul,-0.8896
Korean Air,Seoul to London,0.9798
Korean Air,Seoul to London,0.4417
Korean Air,Seoul to Los Angeles,0.9084
EVA Air,Seoul to Los Angeles via Taipei,0.9858
EVA Air,Seoul to Los Angeles via Taipei,-0.955
Korean Air,Seoul to Madrid,0.9115
Air France,Seoul to Manchester via Paris,0.9773
Korean Air,Seoul to Manila,-0.8416
Korean Air,Seoul to Manila,0.875
Korean Air,Seoul to Moscow,0.8069
Korean Air,Seoul to Prague,0.9791
Korean Air,Seoul to Rome,0.9413
All Nippon Airways,Seoul to San Francisco via Tokyo,0.3407
Emirates,Seoul to Seychelles via Dubai,0.9515
Korean Air,Seoul to Singapore,0.6124
Singapore Airlines,Seoul to Singapore,-0.5875
Korean Air,Seoul to Sydney,0.9824
Korean Air,Seoul to Taipei,0.9548
EVA Air,Seoul to Taipei,-0.8779
Korean Air,Seoul to Tokyo,-0.8038
Korean Air,Seoul to Tokyo Narita,-0.7175
Korean Air,Seoul to Toronto,0.9477
Turkish Airlines,Seychelles to Birmimgham via Istanbul,-0.7269
Turkish Airlines,Seychelles to Budapest via Istanbul,-0.0516
Emirates,Seychelles to Dubai,-0.7807
Turkish Airlines,Seychelles to Dublin via Istanbul,0.9848
Emirates,Seychelles to Lisbon via Dubai,0.9393
EVA Air,Shanghai Pudong to Taipei Taoyuan,0.9838
Cathay Pacific Airways,Shanghai to Barcelona via Hong Kong,-0.9632
Emirates,Shanghai to Dubai,0.9647
Emirates,Shanghai to Gatwick via Dubai,0.8816
All Nippon Airways,Shanghai to Haneda,-0.835
Cathay Pacific Airways,Shanghai to Hong Kong,0.9095
Japan Airlines,Shanghai to Osaka,-0.598
Air France,Shanghai to Paris,0.8929
Air France,Shanghai to Paris,0.154
Air France,Shanghai to Paris,-0.7101
Air France,Shanghai to Paris CDG,-0.5629
Turkish Airlines,Shanghai to Paris CDG via Istanbul,-0.0525
Japan Airlines,Shanghai to San Diego via Tokyo,-0.1154
EVA Air,Shanghai to San Francisco via Taipei,0.982
Singapore Airlines,Shanghai to Singapore,0.705
Singapore Airlines,Shanghai to Singapore,0.9079
Singapore Airlines,Shanghai to Singapore,0.8753
Singapore Airlines,Shanghai to Singapore,0.8871
Qatar Airways,Shanghai to Stockholm via Doha,0.5166
Qatar Airways,Sharjah to Hamad,0.9612
Qatar Airways,Sharjah to Sydney via Doha,-0.1947
Turkish Airlines,Sharm el Sheikh to Frankfurt via Istanbul,0.672
All Nippon Airways,Shenyang to Tokyo,-0.787
Turkish Airlines,Shiraz to Chicago,-0.9493
Singapore Airlines,"Siam Reap, Cambodia to Bali via Singapore",0.0276
Singapore Airlines,Siem Reap to Kolkata via Singapore,-0.6808
Singapore Airlines,Siem Reap to Singapore,0.9747
Singapore Airlines,Siem Reap to Singapore,0.7506
Singapore Airlines,Singapoe to Christchurch,0.936
Japan Airlines,Singapore Changi to Tokyo Narita,-0.9025
Singapore Airlines,Singapore to Adelaide,-0.9117
Singapore Airlines,Singapore to Adelaide,0.955
Singapore Airlines,Singapore to Adelaide,-0.6338
Singapore Airlines,Singapore to Amsterdam,0.9714
Singapore Airlines,Singapore to Amsterdam,0.9785
Singapore Airlines,Singapore to Amsterdam,-0.8804
Singapore Airlines,Singapore to Amsterdam,0.9405
Singapore Airlines,Singapore to Amsterdam,0.9423
Singapore Airlines,Singapore to Amsterdam,0.9888
Singapore Airlines,Singapore to Amsterdam,0.985
Emirates,Singapore to Amsterdam via Dubai,-0.2292
Turkish Airlines,Singapore to Amsterdam via Istanbul,0.4497
Qatar Airways,Singapore to Athens via Doha,0.3384
Singapore Airlines,Singapore to Auckland,0.9337
Singapore Airlines,Singapore to Auckland,0.9643
Singapore Airlines,Singapore to Auckland,0.9643
Singapore Airlines,Singapore to Auckland,0.4685
Singapore Airlines,Singapore to Auckland,0.431
Singapore Airlines,Singapore to Auckland,0.5719
Singapore Airlines,Singapore to Auckland,-0.3041
Singapore Airlines,Singapore to Bali,0.9874
Singapore Airlines,Singapore to Bali,0.8594
Singapore Airlines,Singapore to Bali,0.9772
Singapore Airlines,Singapore to Bandar Seri Begawan,0.8126
Singapore Airlines,Singapore to Bandar Seri Begawan,-0.7824
Singapore Airlines,Singapore to Bangkok,-0.3919
Cathay Pacific Airways,Singapore to Bangkok,0.9489
Singapore Airlines,Singapore to Bangkok,-0.284
Cathay Pacific Airways,Singapore to Bangkok,0.9523
Singapore Airlines,Singapore to Bangkok,0.8167
Cathay Pacific Airways,Singapore to Bangkok,0.9501
Singapore Airlines,Singapore to Bangkok,0.9831
Singapore Airlines,Singapore to Bangkok,0.0413
Singapore Airlines,Singapore to Bangkok,-0.8316
Singapore Airlines,Singapore to Bangkok,0.9744
Singapore Airlines,Singapore to Bangkok,-0.6956
Singapore Airlines,Singapore to Bangkok,0.7783
Singapore Airlines,Singapore to Bangkok,0.2127
Singapore Airlines,Singapore to Bangkok,-0.9557
Cathay Pacific Airways,Singapore to Bangkok,-0.8381
Cathay Pacific Airways,Singapore to Bangkok,0.7837
Cathay Pacific Airways,Singapore to Bangkok,0.946
Singapore Airlines,Singapore to Bangkok,0.5329
Singapore Airlines,Singapore to Bangkok,0.9423
Qatar Airways,Singapore to Barcelona via Doha,0.9735
Emirates,Singapore to Barcelona via Dubai,0.9325
Emirates,Singapore to Barcelona via Dubai,-0.9632
Singapore Airlines,Singapore to Beijing,-0.6492
Singapore Airlines,Singapore to Beijing,0.0
Singapore Airlines,Singapore to Beijing,0.9186
Turkish Airlines,Singapore to Beirut via Istanbul,-0.807
Turkish Airlines,Singapore to Belgrade via Istanbul,0.9932
Qatar Airways,Singapore to Berlin via Doha,-0.7649
Singapore Airlines,Singapore to Brisbane,0.2014
Singapore Airlines,Singapore to Brisbane,0.9918
Singapore Airlines,Singapore to Brisbane,0.9692
Singapore Airlines,Singapore to Brisbane,-0.6164
Singapore Airlines,Singapore to Brisbane,0.9843
Singapore Airlines,Singapore to Brisbane,0.9643
Singapore Airlines,Singapore to Brisbane,0.9495
Emirates,Singapore to Brisbane,0.6054
Turkish Airlines,Singapore to Budapest via Istanbul,-0.978
Singapore Airlines,Singapore to Cairns,-0.9168
Singapore Airlines,Singapore to Canberra via Sydney,0.2382
Turkish Airlines,Singapore to Catania via Istanbul,-0.9347
Turkish Airlines,Singapore to Catania via Istanbul,-0.5267
Singapore Airlines,Singapore to Chennai,-0.1556
Singapore Airlines,Singapore to Christchurch,0.9849
Singapore Airlines,Singapore to Colombo,0.9575
Singapore Airlines,Singapore to Colombo,0.4019
Singapore Airlines,Singapore to Colombo,-0.7089
Emirates,Singapore to Colombo,0.9674
Singapore Airlines,Singapore to Colombo,0.9657
Singapore Airlines,Singapore to Copenhagen,-0.6055
Qatar Airways,Singapore to Copenhagen via Doha,0.9577
Turkish Airlines,Singapore to Copenhagen via Istanbul,-0.8109
Singapore Airlines,Singapore to Delhi,-0.8037
Singapore Airlines,Singapore to Delhi,0.9578
Singapore Airlines,Singapore to Delhi,0.9818
Singapore Airlines,Singapore to Delhi,0.8225
Singapore Airlines,Singapore to Denpasar,0.9086
Singapore Airlines,Singapore to Denpasar,0.9749
Singapore Airlines,Singapore to Denpasar,0.9091
Singapore Airlines,Singapore to Denpasar,0.8551
Singapore Airlines,Singapore to Denpasar,0.9547
Singapore Airlines,Singapore to Denpasar,0.9656
Singapore Airlines,Singapore to Denpasar Bali,0.6103
Singapore Airlines,Singapore to Denpasar Bali,0.9921
Qatar Airways,Singapore to Doha,-0.8868
Qatar Airways,Singapore to Doha,0.7579
Qatar Airways,Singapore to Doha,0.6041
Qatar Airways,Singapore to Doha,0.977
Qatar Airways,Singapore to Doha,-0.4867
Qatar Airways,Singapore to Doha,0.7096
Qatar Airways,Singapore to Doha,-0.9921
Singapore Airlines,Singapore to Dubai,0.8421
Singapore Airlines,Singapore to Dubai,-0.9352
Singapore Airlines,Singapore to Dubai,-0.8777
Singapore Airlines,Singapore to Dubai,0.6728
Emirates,Singapore to Dubai,0.992
Emirates,Singapore to Dubai via Athens,0.902
Qatar Airways,Singapore to Dubai via Doha,0.8807
Turkish Airlines,Singapore to Dusseldorf via Istanbul,-0.1644
Qatar Airways,Singapore to Edinburgh via Doha,0.9799
Qatar Airways,Singapore to Edinburgh via Doha,-0.9497
Emirates,Singapore to Edinburgh via Dubai,0.8749
Singapore Airlines,Singapore to Frankfurt,0.9875
Singapore Airlines,Singapore to Frankfurt,-0.1393
Singapore Airlines,Singapore to Frankfurt,0.9729
Singapore Airlines,Singapore to Frankfurt,0.9331
Singapore Airlines,Singapore to Frankfurt,0.8402
Singapore Airlines,Singapore to Frankfurt,-0.8922
Qatar Airways,Singapore to Frankfurt via Doha,0.9839
Singapore Airlines,Singapore to Guangzhou,0.0508
Singapore Airlines,Singapore to Hanoi,0.9843
Singapore Airlines,Singapore to Ho Chi Minh,0.8807
Singapore Airlines,Singapore to Ho Chi Minh City,-0.8707
Singapore Airlines,Singapore to Ho Chi Minh City,-0.8996
Cathay Pacific Airways,Singapore to Hong Kong,-0.8052
Singapore Airlines,Singapore to Hong Kong,0.9826
Cathay Pacific Airways,Singapore to Hong Kong,0.93
Singapore Airlines,Singapore to Hong Kong,0.9409
Singapore Airlines,Singapore to Hong Kong,-0.234
Cathay Pacific Airways,Singapore to Hong Kong,-0.5647
Cathay Pacific Airways,Singapore to Hong Kong,0.9461
Singapore Airlines,Singapore to Hong Kong,0.1761
Singapore Airlines,Singapore to Hong Kong,0.9892
Cathay Pacific Airways,Singapore to Hong Kong,-0.9373
Cathay Pacific Airways,Singapore to Hong Kong,-0.8883
Cathay Pacific Airways,Singapore to Hong Kong,0.98
Singapore Airlines,Singapore to Hong Kong,0.9381
Cathay Pacific Airways,Singapore to Hong Kong,-0.9359
Singapore Airlines,Singapore to Hong Kong,0.3694
Singapore Airlines,Singapore to Hong Kong,-0.6228
Cathay Pacific Airways,Singapore to Hong Kong,0.9144
Singapore Airlines,Singapore to Hong Kong,0.9608
Korean Air,Singapore to Honolulu via Seoul,0.9841
Korean Air,Singapore to Incheon,0.9733
Korean Air,Singapore to Incheon,0.954
Turkish Airlines,Singapore to Istanbul,-0.8722
Turkish Airlines,Singapore to Istanbul,-0.956
Singapore Airlines,Singapore to Istanbul,0.788
Turkish Airlines,Singapore to Istanbul,0.9143
Turkish Airlines,Singapore to Istanbul,0.5994
Turkish Airlines,Singapore to Istanbul,0.985
Turkish Airlines,Singapore to Istanbul,0.98
Turkish Airlines,Singapore to Istanbul,0.9806
Turkish Airlines,Singapore to Istanbul,-0.9569
Turkish Airlines,Singapore to Istanbul,-0.9382
Turkish Airlines,Singapore to Istanbul,-0.7729
Turkish Airlines,Singapore to Istanbul,-0.7165
Qatar Airways,Singapore to Istanbul via Doha,0.802
Qatar Airways,Singapore to Istanbul via Doha,-0.8658
Singapore Airlines,Singapore to Jakarta,-0.9022
Singapore Airlines,Singapore to Jakarta,0.9686
Singapore Airlines,Singapore to Jakarta,-0.4475
Singapore Airlines,Singapore to Jakarta,0.645
Singapore Airlines,Singapore to Jakarta,-0.9052
Singapore Airlines,Singapore to Jakarta,-0.4404
Singapore Airlines,Singapore to Jakarta,0.9876
Singapore Airlines,Singapore to Jakarta,0.8419
Singapore Airlines,Singapore to Jakarta,0.9853
Singapore Airlines,Singapore to Johannesburg,-0.7003
Singapore Airlines,Singapore to Johannesburg,0.97
Singapore Airlines,Singapore to Johannesburg,-0.8634
Singapore Airlines,Singapore to Kansai,0.5719
Turkish Airlines,Singapore to Kayseri via Istanbul,0.9069
Air France,Singapore to Kiev via Paris CDG,0.9531
Qatar Airways,Singapore to Kilimanjaro via Doha,0.5267
Singapore Airlines,Singapore to Kuala Lumpur,0.991
Emirates,Singapore to Kuwait via Dubai,0.9662
Turkish Airlines,Singapore to Lisbon via Istanbul,0.9825
Singapore Airlines,Singapore to London,0.9217
Singapore Airlines,Singapore to London,0.2108
Singapore Airlines,Singapore to London,0.764
Singapore Airlines,Singapore to London,0.9708
Singapore Airlines,Singapore to London,0.7783
Singapore Airlines,Singapore to London,0.5824
Singapore Airlines,Singapore to London,0.9966
Singapore Airlines,Singapore to London,0.9208
Singapore Airlines,Singapore to London,-0.6486
Singapore Airlines,Singapore to London,-0.0718
Singapore Airlines,Singapore to London,0.9373
Singapore Airlines,Singapore to London,-0.2244
Singapore Airlines,Singapore to London,-0.4404
Singapore Airlines,Singapore to London Heathrow,0.9012
Singapore Airlines,Singapore to London Heathrow,0.4063
Singapore Airlines,Singapore to London Heathrow,0.9605
Singapore Airlines,Singapore to London Heathrow,0.9382
Singapore Airlines,Singapore to London Heathrow,0.8857
Singapore Airlines,Singapore to London Heathrow,0.9246
Singapore Airlines,Singapore to London Heathrow,-0.7642
Singapore Airlines,Singapore to London Heathrow,0.8064
Emirates,Singapore to London via Dubai,0.0824
Emirates,Singapore to London via Dubai,0.9736
Emirates,Singapore to London via Dubai,-0.3167
Cathay Pacific Airways,Singapore to London via Hong Kong,0.7217
Turkish Airlines,Singapore to London via Istanbul,-0.9593
Turkish Airlines,Singapore to London via Istanbul,-0.8201
Air France,Singapore to London via Paris,-0.8222
Singapore Airlines,Singapore to Los Angeles,0.9885
Singapore Airlines,Singapore to Los Angeles,0.9976
Singapore Airlines,Singapore to Los Angeles,-0.9719
Singapore Airlines,Singapore to Los Angeles via Incheon,0.9826
Singapore Airlines,Singapore to Los Angeles via Narita,0.9556
Japan Airlines,Singapore to Los Angeles via Tokyo,0.9962
Singapore Airlines,Singapore to Los Angeles via Tokyo,0.889
Qatar Airways,Singapore to Madrid via Doha,0.8922
Emirates,Singapore to Madrid via Dubai,0.4997
Emirates,Singapore to Madrid via Dubai,-0.8073
Singapore Airlines,Singapore to Male,0.9231
Singapore Airlines,Singapore to Male,0.7579
Turkish Airlines,Singapore to Malta via Istanbul,-0.9646
Singapore Airlines,Singapore to Manchester,0.1181
Singapore Airlines,Singapore to Manchester,0.9468
Singapore Airlines,Singapore to Manchester,0.9145
Singapore Airlines,Singapore to Manchester,0.7629
Singapore Airlines,Singapore to Manchester,-0.6946
Emirates,Singapore to Manchester via Dubai,-0.2732
Singapore Airlines,Singapore to Manila,0.8762
Singapore Airlines,Singapore to Manila,-0.3857
Singapore Airlines,Singapore to Manila,-0.3818
Singapore Airlines,Singapore to Manila,0.0772
Emirates,Singapore to Melbourne,0.5248
Emirates,Singapore to Melbourne,-0.0745
Emirates,Singapore to Melbourne,-0.7114
Emirates,Singapore to Melbourne,0.872
Singapore Airlines,Singapore to Melbourne,-0.9052
Singapore Airlines,Singapore to Melbourne,0.2002
Singapore Airlines,Singapore to Melbourne,0.9051
Singapore Airlines,Singapore to Melbourne,0.9225
Singapore Airlines,Singapore to Melbourne,-0.8495
Singapore Airlines,Singapore to Melbourne,-0.8406
Singapore Airlines,Singapore to Melbourne,0.7845
Singapore Airlines,Singapore to Melbourne,0.8449
Singapore Airlines,Singapore to Melbourne,0.9704
Singapore Airlines,Singapore to Melbourne,0.9484
Singapore Airlines,Singapore to Milan,-0.2799
Singapore Airlines,Singapore to Milan,0.9644
Qatar Airways,Singapore to Milan via Doha,-0.2458
Qatar Airways,Singapore to Milan via Doha,0.9727
Singapore Airlines,Singapore to Moscow,0.9891
Singapore Airlines,Singapore to Mumbai,0.9932
Singapore Airlines,Singapore to Mumbai,0.1531
Singapore Airlines,Singapore to Munich,0.9373
Singapore Airlines,Singapore to Munich,0.1516
Singapore Airlines,Singapore to Munich,0.8705
Qatar Airways,Singapore to Munich via Doha,0.9293
Turkish Airlines,Singapore to Munich via Istanbul,0.9273
Singapore Airlines,Singapore to Nagoya,-0.9822
Singapore Airlines,Singapore to Nagoya,0.2706
Singapore Airlines,Singapore to Narita,0.9102
Singapore Airlines,Singapore to New York,0.9591
Singapore Airlines,Singapore to New York,0.97
Singapore Airlines,Singapore to New York,0.9604
Singapore Airlines,Singapore to New York,0.9436
Emirates,Singapore to New York via Dubai,0.7535
Singapore Airlines,Singapore to New York via Frankfurt,0.8965
Turkish Airlines,Singapore to New York via Istanbul,-0.0976
Singapore Airlines,Singapore to Newark,0.9623
Singapore Airlines,Singapore to Newark,0.9867
Singapore Airlines,Singapore to Newark,-0.7897
Turkish Airlines,Singapore to Newark via Istanbul,-0.9169
Air France,Singapore to Nuremberg via Paris,-0.9573
Cathay Pacific Airways,Singapore to Osaka via Hong Kong,-0.9012
Qatar Airways,Singapore to Oslo via Doha,0.9914
Singapore Airlines,Singapore to Paris,-0.8248
Air France,Singapore to Paris,0.7356
Air France,Singapore to Paris,0.9049
Singapore Airlines,Singapore to Paris,0.9565
Singapore Airlines,Singapore to Paris,0.9381
Singapore Airlines,Singapore to Paris,0.98
Air France,Singapore to Paris CDG,0.9716
Qatar Airways,Singapore to Paris via Doha,-0.9664
Emirates,Singapore to Paris via Dubai,-0.0352
Singapore Airlines,Singapore to Penang,0.7935
Singapore Airlines,Singapore to Penang,-0.969
Singapore Airlines,Singapore to Perth,0.9061
Singapore Airlines,Singapore to Perth,0.9843
Singapore Airlines,Singapore to Perth,0.886
Singapore Airlines,Singapore to Perth,-0.2328
Singapore Airlines,Singapore to Perth,-0.3582
Singapore Airlines,Singapore to Perth,0.8344
Singapore Airlines,Singapore to Perth,0.9358
Singapore Airlines,Singapore to Perth,0.9791
Singapore Airlines,Singapore to Perth,0.993
Singapore Airlines,Singapore to Perth,0.8585
Singapore Airlines,Singapore to Perth,0.9747
Singapore Airlines,Singapore to Perth,0.9628
Singapore Airlines,Singapore to Perth,-0.2196
Singapore Airlines,Singapore to Perth,-0.7684
Singapore Airlines,Singapore to Perth,0.3134
Singapore Airlines,Singapore to Perth,0.9823
Singapore Airlines,Singapore to Perth,0.796
Singapore Airlines,Singapore to Phnom Penh,0.9501
Singapore Airlines,Singapore to Phnom Penh,-0.6115
Singapore Airlines,Singapore to Phnom Penh,0.9231
Singapore Airlines,Singapore to Phuket,0.9535
Singapore Airlines,Singapore to Phuket,-0.4416
Emirates,Singapore to Prague via Dubai,-0.4478
Qatar Airways,Singapore to Rome via Doha,-0.6174
Emirates,Singapore to Rome via Dubai,-0.8795
Emirates,Singapore to Rome via Dubai,-0.5493
Singapore Airlines,Singapore to San Francisco,0.9738
Singapore Airlines,Singapore to San Francisco,0.9595
Singapore Airlines,Singapore to San Francisco,0.9215
Singapore Airlines,Singapore to San Francisco,-0.7511
Singapore Airlines,Singapore to San Francisco,0.9726
Singapore Airlines,Singapore to San Francisco,0.2458
Singapore Airlines,Singapore to San Francisco,-0.8703
Singapore Airlines,Singapore to San Francisco,0.9402
Singapore Airlines,Singapore to San Francisco via Hong Kong,0.9721
Singapore Airlines,Singapore to Seattle,0.8014
Singapore Airlines,Singapore to Seoul,0.8012
Singapore Airlines,Singapore to Seoul,0.93
Korean Air,Singapore to Seoul,0.9183
Korean Air,Singapore to Seoul,0.9552
Korean Air,Singapore to Seoul,0.7003
Singapore Airlines,Singapore to Shanghai,-0.3676
Singapore Airlines,Singapore to Shanghai,0.9612
Singapore Airlines,Singapore to Shanghai,-0.3968
Singapore Airlines,Singapore to Siem Reap,0.9682
Qatar Airways,Singapore to Stockholm via Doha,0.8776
Singapore Airlines,Singapore to Stockholm via Moscow,0.9601
Singapore Airlines,Singapore to Stockholm via Moscow,0.9793
Singapore Airlines,Singapore to Surabaya,0.9712
Singapore Airlines,Singapore to Sydney,0.96
Singapore Airlines,Singapore to Sydney,-0.0772
Singapore Airlines,Singapore to Sydney,0.9908
Singapore Airlines,Singapore to Sydney,-0.5413
Singapore Airlines,Singapore to Sydney,0.0
Singapore Airlines,Singapore to Sydney,-0.5932
Singapore Airlines,Singapore to Sydney,0.9762
Singapore Airlines,Singapore to Sydney,0.9108
Singapore Airlines,Singapore to Sydney,0.8141
Singapore Airlines,Singapore to Sydney,0.8612
Singapore Airlines,Singapore to Sydney,-0.4215
Singapore Airlines,Singapore to Sydney,-0.517
Singapore Airlines,Singapore to Sydney,0.5856
Singapore Airlines,Singapore to Sydney,-0.7011
Singapore Airlines,Singapore to Sydney,-0.6707
Singapore Airlines,Singapore to Sydney,0.9888
Singapore Airlines,Singapore to Sydney,-0.0629
EVA Air,Singapore to Taipei,0.9709
Singapore Airlines,Singapore to Taipei,0.9786
Singapore Airlines,Singapore to Taipei,0.8965
EVA Air,Singapore to Taipei,0.9218
EVA Air,Singapore to Taipei,0.83
Singapore Airlines,Singapore to Taipei,0.8432
Turkish Airlines,Singapore to Tel Aviv via Istanbul,-0.9657
Singapore Airlines,Singapore to Thailand,0.8552
Singapore Airlines,Singapore to Tokyo,-0.8528
Japan Airlines,Singapore to Tokyo,0.8402
Singapore Airlines,Singapore to Tokyo,0.9955
Singapore Airlines,Singapore to Tokyo,-0.882
All Nippon Airways,Singapore to Tokyo,0.9898
Singapore Airlines,Singapore to Tokyo Haneda,-0.0102
Singapore Airlines,Singapore to Tokyo Haneda,0.9542
Japan Airlines,Singapore to Tokyo Haneda,0.9517
Japan Airlines,Singapore to Tokyo Haneda,0.9698
Singapore Airlines,Singapore to Tokyo Narita,-0.1663
All Nippon Airways,Singapore to Tokyo Narita,0.9538
Singapore Airlines,Singapore to Toronto via Incheon,-0.6258
EVA Air,Singapore to Toronto via Taipei,0.7003
Air France,Singapore to Toulouse via Paris,0.9551
Cathay Pacific Airways,Singapore to Vancouver via Hong Kong,-0.984
EVA Air,Singapore to Vancouver via Taipei,0.7264
EVA Air,Singapore to Vancouver via Taipei,0.8221
Emirates,Singapore to Venice via Dubai,0.8555
Turkish Airlines,Singapore to Venice via Istanbul,-0.7836
Air France,Singapore to Warsaw via Paris,-0.823
Singapore Airlines,Singapore to Xiamen,0.8794
Turkish Airlines,Singapore to Zagreb via Istanbul,0.8807
Singapore Airlines,Singapore to Zurich,0.9001
Singapore Airlines,Singapore to Zurich,0.985
Singapore Airlines,Singapore to Zurich,0.987
Singapore Airlines,Singapore to Zurich,0.9962
Singapore Airlines,Singapore to Zurich,-0.1531
Singapore Airlines,Singapore to Zurich,-0.5216
Qatar Airways,Singapore to Zurich via Doha,0.9795
Qatar Airways,Singapore to Zurich via Doha,-0.8625
Singapore Airlines,Singapore to Zürich,0.9946
Singapore Airlines,Singapore to Zürich,-0.2878
Turkish Airlines,Singapore to İstanbul,0.9571
Turkish Airlines,Skopje to Istanbul,-0.5849
Turkish Airlines,Skopje to Miami via Istanbul,-0.7269
Turkish Airlines,"Skopje to Singapore via Istanbul,",0.9753
Turkish Airlines,Sochi to Chisinau via Istanbul,-0.1868
Qatar Airways,Sofia to Abu Dhabi via Doha,0.9536
Turkish Airlines,Sofia to Amsterdam via Istanbul,-0.4138
Turkish Airlines,Sofia to Chicago via Istanbul,-0.9504
Qatar Airways,Sofia to Doha via Adelaide,0.9757
Qatar Airways,Sofia to Dubai via Doha,0.9001
Qatar Airways,Sofia to Hong Kong via Doha,0.9782
Turkish Airlines,Sofia to Istanbul,0.93
Qatar Airways,Sofia to Kathmandu via Doha,-0.9891
Air France,Sofia to Paris,-0.7812
Turkish Airlines,Sofia to San Francisco via Istanbul,0.7469
Qatar Airways,Sofia to Singapore via Doha,0.9306
Air France,Sofia to Tokyo via Paris,0.0772
Turkish Airlines,Sofia to Zaporizhia via Istanbul,-0.9211
Air France,Southampton to Dubai via Paris CDG,0.9798
Qatar Airways,Spain to Singapore via Doha,0.9862
Emirates,St Louis to Dubai via Toronto,0.5994
Emirates,St Petersburg to Dubai,0.9349
Turkish Airlines,St Petersburgh to Istanbul,-0.4924
Emirates,Stansted to Dhaka via Dubai,-0.6946
Emirates,Stansted to Hong Kong via Dubai,-0.9534
Emirates,Stansted to Singapore via Dubai,0.7849
Singapore Airlines,Stockholm  to Moscow,0.9584
Qatar Airways,Stockholm to Bangkok via Doha,-0.5859
Qatar Airways,Stockholm to Bangkok via Doha,0.9771
Qatar Airways,Stockholm to Bangkok via Doha,0.9626
Turkish Airlines,Stockholm to Bangkok via Istanbul,0.8722
Air France,Stockholm to Biarritz via Paris,-0.25
Qatar Airways,Stockholm to Chennai via Doha,0.9409
Qatar Airways,Stockholm to Dhaka via Doha,0.9721
Qatar Airways,Stockholm to Doha,0.948
Qatar Airways,Stockholm to Doha,0.8898
Qatar Airways,Stockholm to Doha,0.6124
Qatar Airways,Stockholm to Doha,-0.0835
Qatar Airways,Stockholm to Doha,0.7717
Qatar Airways,Stockholm to Doha,0.9664
Qatar Airways,Stockholm to Doha,0.9735
Qatar Airways,Stockholm to Hi Chi Minh City via Doha,0.9836
Turkish Airlines,Stockholm to Istanbul,0.98
Turkish Airlines,Stockholm to Jeddah via Istanbul,-0.6249
Air France,Stockholm to Marseille,-0.9539
Singapore Airlines,Stockholm to Moscow,0.9781
Air France,Stockholm to Paris,-0.9169
Turkish Airlines,Stockholm to Sharm el Sheikh via Istanbul,-0.9967
Qatar Airways,Stockholm to Singapore via Doha,0.9926
Qatar Airways,Stockholm to Singapore via Doha,-0.7177
Singapore Airlines,Stockholm to Singapore via Moscow,0.9511
Emirates,Stockholm to Tehran via Dubai,0.3944
Turkish Airlines,Stockholm to Tunis via Istanbul,-0.9647
Air France,Strasbourg to Lyon,-0.8643
Turkish Airlines,Stuttgart to Douala via Istanbul,-0.9615
Turkish Airlines,Stuttgart to Istanbul,0.0
Turkish Airlines,Stuttgart to Manila via Istanbul,-0.779
Air France,Stuttgart to Toronto via Paris,-0.0688
Turkish Airlines,Stuttgart to İstanbul,-0.1893
